VCD info: dumpfile out.vcd opened for output.
                   0 << Starting Simulation >>
                   0 SW[9] low: 0, no buttons KEY[1:0]= 11
                   0 Buttons(KEY): 11, Day2(HEX0): xxxxxxxx, Day1(HEX1): xxxxxxxx, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): xxxxxxxx, Digit2(HEX5): xxxxxxxx, Clk: 0
                   5 Buttons(KEY): 11, Day2(HEX0): xxxxxxxx, Day1(HEX1): xxxxxxxx, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): xxxxxxxx, Digit2(HEX5): xxxxxxxx, Clk: 1
                  10 Buttons(KEY): 11, Day2(HEX0): xxxxxxxx, Day1(HEX1): xxxxxxxx, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): xxxxxxxx, Digit2(HEX5): xxxxxxxx, Clk: 0
                  15 Buttons(KEY): 11, Day2(HEX0): xxxxxxxx, Day1(HEX1): xxxxxxxx, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): xxxxxxxx, Digit2(HEX5): xxxxxxxx, Clk: 1
                  20 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  25 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                  30 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  35 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                  40 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  45 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                  50 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  55 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                  60 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  65 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                  70 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  75 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                  80 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  85 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                  90 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                  95 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 100 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 105 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 110 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 115 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 120 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 125 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 130 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 135 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 140 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 145 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 150 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 155 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 160 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 165 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 170 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 175 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 180 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 185 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 190 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 195 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 200 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 205 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 210 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 215 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 220 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 225 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 230 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 235 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 240 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 245 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 250 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 255 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 260 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 265 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 270 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 275 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 280 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 285 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 290 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 295 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
                 300 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 0
                 305 Buttons(KEY): 11, Day2(HEX0): 11111001, Day1(HEX1): 11111111, UnusedMonth(HEX3): 11111111, Month(HEX2): 11111001, Digit1(HEX4): 11111001, Digit2(HEX5): 11111111, Clk: 1
